mbid,verse_name,poetry_form,t_s,t_e,score_s,score_e,mizan,orchestra,lyric
a451a7fc-c53f-462a-b3fc-4377bb588105,in.4.2.1, ,2947.4109196213903,2952.978176013463,2908.5,2915.5,bṭāyḥī,/BrihiOrchestra,idhā yuqbil al-layl al-bahīm
a451a7fc-c53f-462a-b3fc-4377bb588105,in.4.2.2, ,2952.978176013463,2955.6458197013308,2917.0,2920.5,bṭāyḥī,/BrihiOrchestra,nabqá nahīm
a451a7fc-c53f-462a-b3fc-4377bb588105,in.4.2.3, ,2955.6458197013308,2960.517169044394,2921.0,2926.5,bṭāyḥī,/BrihiOrchestra,tajrī ‘alá ashfārī al-dumū‘
a451a7fc-c53f-462a-b3fc-4377bb588105,in.4.3.1, ,2974.0873565000707,2979.780985384832,2948.5,2955.5,bṭāyḥī,/BrihiOrchestra,law kān al-ladhī nahwá fahīm
a451a7fc-c53f-462a-b3fc-4377bb588105,in.4.3.2, ,2979.780985384832,2982.4486290727004,2957.0,2960.5,bṭāyḥī,/BrihiOrchestra,yakūn raḥīm
a451a7fc-c53f-462a-b3fc-4377bb588105,in.4.3.3, ,2982.4486290727004,2986.972024891259,2961.0,2966.5,bṭāyḥī,/BrihiOrchestra,yabrá mā biyā min al-wulū‘
a451a7fc-c53f-462a-b3fc-4377bb588105,in.4.4.1, ,2986.972024891259,2997.9905531672357,2968.5,2982.5,bṭāyḥī,/BrihiOrchestra,naṣbir ‘alá ṣabr al-kirām
a451a7fc-c53f-462a-b3fc-4377bb588105,in.4.4.2, ,2997.9905531672357,3008.5474783089508,2985.0,2999.5,bṭāyḥī,/BrihiOrchestra,walā ‘alá ḥarr al-gharām
a451a7fc-c53f-462a-b3fc-4377bb588105,in.4.5.1, ,3008.5474783089508,3013.7965682938725,3000.5,3007.5,bṭāyḥī,/BrihiOrchestra,‘aṭshān āittukhdh ‘aqlī rahīn
a451a7fc-c53f-462a-b3fc-4377bb588105,in.4.5.2, ,3013.7965682938725,3016.3742643509363,3009.0,3012.5,bṭāyḥī,/BrihiOrchestra,wal-mā zulāl
a451a7fc-c53f-462a-b3fc-4377bb588105,in.4.5.3, ,3016.3742643509363,3021.2621547819545,3013.0,3018.5,bṭāyḥī,/BrihiOrchestra,mā yubrī dā’ī ilā al-wiṣāl
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.1.1, ,3021.2621547819545,3024.4392835621156,3020.5,3024.0,bṭāyḥī,/BrihiOrchestra,fī kull al-ghurūb
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.1.2, ,3024.4392835621156,3026.611679309235,3024.5,3028.0,bṭāyḥī,/BrihiOrchestra,wakull al-‘ashīyih
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.1.3, ,3026.611679309235,3032.0969785707107,3028.5,3036.5,bṭāyḥī,/BrihiOrchestra,law‘atī taẓhar
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.2.1, ,3052.691054617963,3055.080689939794,3069.0,3071.5,bṭāyḥī,/BrihiOrchestra,nafná wanadhūb
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.2.2, ,3055.080689939794,3058.0134241984047,3073.0,3076.0,bṭāyḥī,/BrihiOrchestra,wayaẓhar ‘alay	wānā
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.2.3, ,3058.0134241984047,3063.6073432472367,3076.5,3080.5,bṭāyḥī,/BrihiOrchestra,nahīm akthar
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.2.4, ,3063.6073432472367,3068.386613890899,3086.0,3092.5,bṭāyḥī,/BrihiOrchestra,walā nu‘dhar
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.3.1, ,3083.664992183765,3086.48910665502,3117.0,3119.5,bṭāyḥī,/BrihiOrchestra,mā hī āillā al-qulūb
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.3.2, ,3086.48910665502,3089.4218409136306,3121.0,3124.5,bṭāyḥī,/BrihiOrchestra,āsh lī min janīyah
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.3.3, ,3089.4218409136306,3095.0755339893904,3125.25,3132.5,bṭāyḥī,/BrihiOrchestra,waman yaṭīq yaṣbar
